"Name","SerialNumber","PresenceBits","Contexts","InEntra","InIntune","InAD","InSophos","InKACE","DeviceType","OS","LastSeen","PrimaryUser","Location","MultiInstanceFlag","Entra_InstanceCount","Entra_HybridCount","Entra_RegisteredCount","Entra_DuplicateFlag","Entra_DeviceIds","Entra_HybridIdMatchesAD","Entra_HybridIdMismatchExists","Intune_InstanceCount","Intune_DuplicateFlag","Intune_AzureADLinkMatchesEntraCount","Intune_AzureADLinkMismatchCount","Intune_AzureADDeviceIds","Sophos_InstanceCount","Sophos_DuplicateFlag","Sophos_Ids","Entra_DeviceId","Entra_JoinType","Entra_OperatingSystem","Entra_OperatingSystemVersion","Entra_IsManaged","Entra_IsCompliant","Entra_LastSignIn","Intune_DeviceId","Intune_DeviceName","Intune_OperatingSystem","Intune_ComplianceState","Intune_ManagementAgent","Intune_LastSync","AD_Name","AD_DNSHostName","AD_OperatingSystem","AD_LastLogonDate","AD_Enabled","AD_ObjectGUID","Sophos_Id","Sophos_Hostname","Sophos_OS","Sophos_LastSeenAt","Sophos_Health","Sophos_ipv4Addresses","KACE_ID","KACE_Machine_Name","KACE_Os_name","KACE_Machine_Ip","KACE_Machine_RAM_Used","KACE_Machine_RAM_Total","KACE_LastInventory"
"LAPTOP-7565",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7565","Laptop-7565.image.local","Windows 11 Business","10/9/2025 11:13:27 AM","True","b10acc02-1087-48eb-a8d1-24b2c27570d8",,,,,,,,,,,,,
"LAPTOP-7566",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7566","Laptop-7566.image.local","Windows 11 Business","11/28/2025 9:01:01 AM","True","25dec238-0678-44bc-a8bb-856d17d84856",,,,,,,,,,,,,
"LAPTOP-7568",,"4","AD","False","False","True","False","False",,"Windows 11 Pro",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7568","Laptop-7568.image.local","Windows 11 Pro","11/19/2025 9:52:47 AM","True","c446d76f-7ea8-4d82-ad07-a4692643e854",,,,,,,,,,,,,
"LAPTOP-7569",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7569","Laptop-7569.image.local","Windows 11 Enterprise","11/27/2025 11:12:30 AM","True","51777521-c262-4bf1-bbb9-c7b04a29d0a5",,,,,,,,,,,,,
"LAPTOP-7571",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7571","Laptop-7571.image.local","Windows 11 Business","11/17/2025 8:33:39 AM","True","15c838bf-5ccb-49ea-96b2-7b9f799f8892",,,,,,,,,,,,,
"LAPTOP-7573",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7573","Laptop-7573.image.local","Windows 11 Enterprise","11/24/2025 10:54:23 AM","True","3c72d54a-dea5-499d-9f26-6e81ade874de",,,,,,,,,,,,,
"LAPTOP-7574",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7574","Laptop-7574.image.local","Windows 11 Business","11/28/2025 9:38:56 AM","True","3d88d464-000e-4e7d-9acb-290a89976750",,,,,,,,,,,,,
"LAPTOP-7575",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7575","Laptop-7575.image.local","Windows 11 Business","11/27/2025 10:36:31 AM","True","60b074ce-eb3c-4f21-bfa6-8b33b2783dc5",,,,,,,,,,,,,
"LAPTOP-7576",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7576","Laptop-7576.image.local","Windows 11 Business","11/24/2025 8:14:47 AM","True","448f5b8e-6046-4d1d-9928-903aece64ecd",,,,,,,,,,,,,
"LAPTOP-7577",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7577","Laptop-7577.image.local","Windows 11 Business","11/28/2025 8:50:53 AM","True","e007542f-a92f-4b3e-8381-3690f0dd6d32",,,,,,,,,,,,,
"LAPTOP-7578",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7578","Laptop-7578.image.local","Windows 11 Business","11/20/2025 8:29:33 AM","True","6ec6cb9b-a80a-4e96-9ab3-6c6d1d011668",,,,,,,,,,,,,
"LAPTOP-7579",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7579","Laptop-7579.image.local","Windows 11 Business","6/23/2049 10:53:12 PM","True","ca371ea6-aa39-442b-a5e7-f39e8a28eac5",,,,,,,,,,,,,
"LAPTOP-7580",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7580","Laptop-7580.image.local","Windows 11 Business","11/17/2025 10:04:03 AM","True","fcc22bc3-b2cb-4186-9487-1819cc5d7e2c",,,,,,,,,,,,,
"LAPTOP-7581",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7581","Laptop-7581.image.local","Windows 11 Business","11/20/2025 10:25:18 AM","True","6db12c77-4dbc-4fe4-9e6a-66529bbe745a",,,,,,,,,,,,,
"LAPTOP-7582",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7582","Laptop-7582.image.local","Windows 11 Business","11/19/2025 12:55:49 PM","True","2b28c0da-d456-482d-b12c-21816aa53584",,,,,,,,,,,,,
"LAPTOP-7587",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7587","Laptop-7587.image.local","Windows 11 Business","11/20/2025 2:04:48 PM","True","f5fda3bc-f231-4b00-9c8a-88a872dc6406",,,,,,,,,,,,,
"LAPTOP-7588",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7588","Laptop-7588.image.local","Windows 11 Business","6/23/2049 10:41:51 PM","True","7fdbf509-3c02-4b19-b8ca-c98f003712aa",,,,,,,,,,,,,
"LAPTOP-7591",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7591","Laptop-7591.image.local","Windows 11 Business","6/23/2049 11:24:09 PM","True","59fa5446-a2cc-4ad4-9b57-22e1526783e3",,,,,,,,,,,,,
"LAPTOP-7592",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7592","Laptop-7592.image.local","Windows 11 Enterprise","11/12/2025 12:05:29 PM","True","29620616-ae54-4d7a-bf0b-5ee9c37e4cf1",,,,,,,,,,,,,
"LAPTOP-7593",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7593","Laptop-7593.image.local","Windows 11 Business","11/24/2025 10:01:08 AM","True","277ddbb1-c721-470a-9812-8a6c1db33964",,,,,,,,,,,,,
"LAPTOP-7594",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7594","Laptop-7594.image.local","Windows 11 Enterprise","11/20/2025 3:53:00 PM","True","e87625a3-64a2-4f46-8b8e-790a7d58ce26",,,,,,,,,,,,,
"LAPTOP-7595",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7595","Laptop-7595.image.local","Windows 11 Enterprise","11/20/2025 7:30:04 PM","True","5484950a-6c02-45ee-8f07-8af9549609fc",,,,,,,,,,,,,
"LAPTOP-7596",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7596","Laptop-7596.image.local","Windows 11 Business","11/16/2025 6:10:14 PM","True","4a4743a3-92ea-4ed1-91d6-be025d468d8a",,,,,,,,,,,,,
"LAPTOP-7597",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7597","Laptop-7597.image.local","Windows 11 Enterprise","11/10/2025 10:57:20 AM","True","5a9cf807-db59-438d-b4c2-52c657827bb5",,,,,,,,,,,,,
"LAPTOP-7598",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7598","Laptop-7598.image.local","Windows 11 Business","11/20/2025 7:51:20 AM","True","d8c5733f-5fda-400a-8d70-f7b31ef4b872",,,,,,,,,,,,,
"LAPTOP-7601",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7601","Laptop-7601.image.local","Windows 11 Business","11/20/2025 12:31:01 PM","True","fc19dc6a-4117-4815-a5f5-3148fc2482ec",,,,,,,,,,,,,
"LAPTOP-7602",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7602","Laptop-7602.image.local","Windows 11 Business","11/20/2025 9:34:51 AM","True","08c74c0d-3ce1-476f-93ba-1e6b2c9c3545",,,,,,,,,,,,,
"LAPTOP-7603",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7603","Laptop-7603.image.local","Windows 11 Enterprise","11/19/2025 9:08:53 AM","True","bce21365-fb63-405b-8e47-2f3beeecf586",,,,,,,,,,,,,
"LAPTOP-7604",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7604","Laptop-7604.image.local","Windows 11 Business","11/28/2025 7:50:04 AM","True","850b10e0-dd37-49aa-bdc2-cd072d398b12",,,,,,,,,,,,,
"LAPTOP-7605",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7605","Laptop-7605.image.local","Windows 11 Business","11/20/2025 8:25:33 AM","True","6b35a3b9-efc6-4921-a04c-e620740d656d",,,,,,,,,,,,,
"LAPTOP-7606",,"4","AD","False","False","True","False","False",,"Windows 11 Pro",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7606","Laptop-7606.image.local","Windows 11 Pro","8/18/2025 8:38:01 AM","True","6dc9fadc-23d3-4222-8d51-5ed119cf0ab0",,,,,,,,,,,,,
"LAPTOP-7607",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7607","Laptop-7607.image.local","Windows 11 Business","11/26/2025 10:09:31 AM","True","f9ced23a-a9a2-4026-b693-d07c9a678857",,,,,,,,,,,,,
"LAPTOP-7608",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7608","Laptop-7608.image.local","Windows 11 Business","11/20/2025 8:15:04 AM","True","148ae387-dd4f-4008-ac23-2623b426ab57",,,,,,,,,,,,,
"LAPTOP-7609",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7609","Laptop-7609.image.local","Windows 11 Business","11/27/2025 5:07:26 PM","True","3b7a36a9-172b-4134-80de-d56171e0c4d2",,,,,,,,,,,,,
"LAPTOP-7610",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7610","Laptop-7610.image.local","Windows 11 Business","11/29/2025 8:31:53 AM","True","3567b77f-e287-492d-ba0c-f7f374001fce",,,,,,,,,,,,,
"LAPTOP-7611",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7611","Laptop-7611.image.local","Windows 11 Enterprise","11/28/2025 12:41:03 PM","True","5b9db5a6-97f3-498a-a178-6802b921ca42",,,,,,,,,,,,,
"LAPTOP-7612",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7612","Laptop-7612.image.local","Windows 11 Business","11/24/2025 8:41:08 AM","True","4063f742-dd8f-4baa-9eb4-ea285a91058c",,,,,,,,,,,,,
"LAPTOP-7613",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7613","Laptop-7613.image.local","Windows 11 Enterprise","11/28/2025 8:21:22 AM","True","0bc6496b-44c4-4ba1-9df2-db7a0866aa34",,,,,,,,,,,,,
"LAPTOP-7614",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7614","Laptop-7614.image.local","Windows 11 Business","11/14/2025 8:42:09 AM","True","a291c93a-beeb-487f-9339-ed7a205a3de5",,,,,,,,,,,,,
"LAPTOP-7615",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7615","Laptop-7615.image.local","Windows 11 Business","11/24/2025 9:57:36 AM","True","44739918-25e8-4cb9-a885-abd6891c1d31",,,,,,,,,,,,,
"LAPTOP-7616",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7616","Laptop-7616.image.local","Windows 11 Business","11/26/2025 11:24:00 AM","True","0508f7f3-3ee9-4e45-81d4-b82400d07783",,,,,,,,,,,,,
"LAPTOP-7617",,"4","AD","False","False","True","False","False",,"Windows 11 Pro",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7617","Laptop-7617.image.local","Windows 11 Pro","11/13/2025 7:43:11 AM","True","9f994e4c-46f4-4b3d-a5cf-739d1b644995",,,,,,,,,,,,,
"LAPTOP-7618",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7618","Laptop-7618.image.local","Windows 11 Business","11/24/2025 12:59:01 PM","True","e509107b-3002-43f6-8926-24be5327644e",,,,,,,,,,,,,
"LAPTOP-7626",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"Laptops","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"LAPTOP-7626","Laptop-7626.image.local","Windows 11 Business","11/24/2025 12:40:01 PM","True","498963c7-a29f-494c-84e2-c83c6ee58fca",,,,,,,,,,,,,
